"label","type","author","title","journal","year","volume","number","pages","note","url","document_type","source","doi","art_number","matches"
"Beckmann2018396","ARTICLE","Beckmann, J.P. and Lackey, C.W.","Lessons learned from a 20-year collaborative study on American black bears","Human-Wildlife Interactions","2018","12","3","396-404","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059299211&partnerID=40&md5=b4bf457e7484fb262dee6d39c2c8ca00","Article","Scopus",NA,NA,1
"Karanth2018","ARTICLE","Karanth, K.K. and Kudalkar, S. and Jain, S.","Re-building communities: Voluntary resettlement from protected areas in India","Frontiers in Ecology and Evolution","2018","6","NOV",NA,"cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057291573&doi=10.3389%2ffevo.2018.00183&partnerID=40&md5=e3775fbbfeae5fa7bc85c52e32a54196","Article","Scopus","10.3389/fevo.2018.00183","183",2
"Haidt2018","ARTICLE","Haidt, A. and Kamiski, T. and Borowik, T. and Kowalczyk, R.","Human and the beastFlight and aggressive responses of European bison to human disturbance","PLoS ONE","2018","13","8",NA,"cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050913405&doi=10.1371%2fjournal.pone.0200635&partnerID=40&md5=975702ab15624c6f4c556f3bb97ef186","Article","Scopus","10.1371/journal.pone.0200635","e0200635",3
"Hovardas20181","BOOK","Hovardas, T.","Large carnivore conservation and management: Human dimensions","Large Carnivore Conservation and Management: Human Dimensions","2018",NA,NA,"1-345","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059998114&doi=10.4324%2f9781315175454&partnerID=40&md5=7ca2c4298e48f1bdb49d497a42d5e219","Book","Scopus","10.4324/9781315175454",NA,4
"Frigerio2018365","ARTICLE","Frigerio, D. and Pipek, P. and Kimmig, S. and Winter, S. and Melzheimer, J. and Diblkov, L. and Wachter, B. and Richter, A.","Citizen science and wildlife biology: Synergies and challenges","Ethology","2018","124","6","365-377","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046705002&doi=10.1111%2feth.12746&partnerID=40&md5=5f95b6c77039ac21d329f1e7b7e03234","Review","Scopus","10.1111/eth.12746",NA,5
"Sten2018","ARTICLE","Sten, O.-G. and Ordiz, A. and Sahln, V. and Arnemo, J.M. and Saebo, S. and Mattsing, G. and Kristofferson, M. and Brunberg, S. and Kindberg, J. and Swenson, J.E.","Brown bear (Ursus arctos) attacks resulting in human casualties in Scandinavia 19772016; management implications and recommendations","PLoS ONE","2018","13","5",NA,"cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047547741&doi=10.1371%2fjournal.pone.0196876&partnerID=40&md5=2bb2404f652070b0dfcdc38f81e3ac83","Article","Scopus","10.1371/journal.pone.0196876","e0196876",6
"Heneghan201854","ARTICLE","Heneghan, M.D. and Morse, W.","Finding our bearings: Understanding public attitudes toward growing black bear populations in Alabama","Human Dimensions of Wildlife","2018","23","1","54-70","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033707550&doi=10.1080%2f10871209.2017.1386248&partnerID=40&md5=d0ffb7bf926cf01995be12e68c9d9e46","Article","Scopus","10.1080/10871209.2017.1386248",NA,7
"Schttler2018","ARTICLE","Schttler, E. and Saavedra-Aracena, L. and Jimnez, J.E.","Domestic carnivore interactions with wildlife in the Cape Horn Biosphere Reserve, Chile: Husbandry and perceptions of impact from a community perspective","PeerJ","2018","2018","1",NA,"cited By 4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039984504&doi=10.7717%2fpeerj.4124&partnerID=40&md5=f4c4fada2ea15a23168779c6739a34a4","Article","Scopus","10.7717/peerj.4124","e4124",8
"Luther2018186","ARTICLE","Luther, E.","Urban Wildlife Organizations and the Institutional Entanglements of Conservation's Urban Turn","Society and Animals","2018","26","2","186-196","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049124830&doi=10.1163%2f15685306-12341587&partnerID=40&md5=82661c1e526ddcecb9ee177b963ad9bc","Article","Scopus","10.1163/15685306-12341587",NA,9
"Behr20171919","ARTICLE","Behr, D.M. and Ozgul, A. and Cozzi, G.","Combining human acceptance and habitat suitability in a unified socio-ecological suitability model: a case study of the wolf in Switzerland","Journal of Applied Ecology","2017","54","6","1919-1929","cited By 3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013321982&doi=10.1111%2f1365-2664.12880&partnerID=40&md5=96442d89c92cbf1375bca8795ddbda74","Article","Scopus","10.1111/1365-2664.12880",NA,10
"Baloi2017493","ARTICLE","Baloi, V.A. and Chaminuka, P.","Interest in Participating in Integrated Wildlife/Livestock Land Uses in a Rural Area in South Africa","Human Dimensions of Wildlife","2017","22","6","493-505","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027099854&doi=10.1080%2f10871209.2017.1357771&partnerID=40&md5=08422d1f4686aeb6e4c2fa1ae9d7e06f","Article","Scopus","10.1080/10871209.2017.1357771",NA,11
"CaillyArnulphi2017","ARTICLE","Cailly Arnulphi, V.B. and Lambertucci, S.A. and Borghi, C.E.","Education can improve the negative perception of a threatened long-lived scavenging bird, the Andean condor","PLoS ONE","2017","12","9",NA,"cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029930521&doi=10.1371%2fjournal.pone.0185278&partnerID=40&md5=38f91c01f273fe4cb14e68d864da90db","Article","Scopus","10.1371/journal.pone.0185278","e0185278",12
"Rutina2017","ARTICLE","Rutina, L.P. and Mogwera, K.M. and Seonyatseng, E. and Mpofu, C. and Ntloyathuto, D.","Herders ecological knowledge and carnivore predation on livestock investigations in Makgadikgadi and Nxai national parks, Botswana","Koedoe","2017","59","2",NA,"cited By 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026676429&doi=10.4102%2fkoedoe.v59i2.1389&partnerID=40&md5=18491c9ac3f665d69d1afa110101a4a6","Article","Scopus","10.4102/koedoe.v59i2.1389","a1389",13
"ChaseGrey201756","ARTICLE","Chase Grey, J.N. and Bell, S. and Hill, R.A.","Leopard diets and landowner perceptions of human wildlife conflict in the Soutpansberg Mountains, South Africa","Journal for Nature Conservation","2017","37",NA,"56-65","cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016438996&doi=10.1016%2fj.jnc.2017.03.002&partnerID=40&md5=5ded88f5765a0e7b39bab0c4ec2de6d8","Article","Scopus","10.1016/j.jnc.2017.03.002",NA,14
"Ndengu20171304","ARTICLE","Ndengu, M. and De Garine-Wichatitsky, M. and Pfukenyi, D.M. and Tivapasi, M. and Mukamuri, B. and Matope, G.","Assessment of community awareness and risk perceptions of zoonotic causes of abortion in cattle at three selected livestock-wildlife interface areas of Zimbabwe","Epidemiology and Infection","2017","145","7","1304-1319","cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011713919&doi=10.1017%2fS0950268817000097&partnerID=40&md5=ae9b7089a0953595842df27d042d5727","Article","Scopus","10.1017/S0950268817000097",NA,15
"Holechek2017273","ARTICLE","Holechek, J.L. and Cibils, A.F. and Bengaly, K. and Kinyamario, J.I.","Human Population Growth, African Pastoralism, and Rangelands: A Perspective","Rangeland Ecology and Management","2017","70","3","273-280","cited By 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020696853&doi=10.1016%2fj.rama.2016.09.004&partnerID=40&md5=a171c3f3435c3cbcfa6c3eb5b664dd42","Article","Scopus","10.1016/j.rama.2016.09.004",NA,16
"Bhatia201730","ARTICLE","Bhatia, S. and Redpath, S.M. and Suryawanshi, K. and Mishra, C.","The Relationship Between Religion and Attitudes Toward Large Carnivores in Northern India?","Human Dimensions of Wildlife","2017","22","1","30-42","cited By 6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983242547&doi=10.1080%2f10871209.2016.1220034&partnerID=40&md5=be270c8250194a213b845bb0531a97b1","Article","Scopus","10.1080/10871209.2016.1220034",NA,17
"Poessel2017259","ARTICLE","Poessel, S.A. and Gese, E.M. and Young, J.K.","Environmental factors influencing the occurrence of coyotes and conflicts in urban areas","Landscape and Urban Planning","2017","157",NA,"259-269","cited By 8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979578585&doi=10.1016%2fj.landurbplan.2016.05.022&partnerID=40&md5=ad4f17f613b3eef8303d7fc11dec95a0","Article","Scopus","10.1016/j.landurbplan.2016.05.022",NA,18
"pur2017343","ARTICLE","pur, N. and Pokorny, B. and orgo, A.","Public willingness to participate in actions for crow management","Wildlife Research","2017","44","4","343-353","cited By 1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028612314&doi=10.1071%2fWR17004&partnerID=40&md5=ec2a798136aaa6a5a64e9f9191bdc358","Article","Scopus","10.1071/WR17004",NA,19
"Brien2017281","ARTICLE","Brien, M.L. and Gienger, C.M. and Browne, C.A. and Read, M.A. and Joyce, M.J. and Sullivan, S.","Patterns of human-crocodile conflict in Queensland: A review of historical estuarine crocodile (Crocodylus porosus) management","Wildlife Research","2017","44","4","281-290","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028612378&doi=10.1071%2fWR17011&partnerID=40&md5=505d9e56a332e468280360f74a54d870","Article","Scopus","10.1071/WR17011",NA,20
"Lyamuya2016403","ARTICLE","Lyamuya, R.D. and Strande Straube, A.C. and Guttu, A.M. and Masenga, E.H. and Mbise, F.P. and Fyumagwa, R.D. and Stokke, B.G. and Jackson, C.R. and Rskaft, E.","Can Enhanced Awareness Change Local School Childrens Knowledge of Carnivores in Northern Tanzania?","Human Dimensions of Wildlife","2016","21","5","403-413","cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967167118&doi=10.1080%2f10871209.2016.1180566&partnerID=40&md5=9f0d91f4c79d8526b2c1e7ede24b5628","Article","Scopus","10.1080/10871209.2016.1180566",NA,21
"Johansson2016261","ARTICLE","Johansson, M. and Ferreira, I.A. and Sten, O.-G. and Frank, J. and Flykt, A.","Targeting human fear of large carnivores  Many ideas but few known effects","Biological Conservation","2016","201",NA,"261-269","cited By 7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979076067&doi=10.1016%2fj.biocon.2016.07.010&partnerID=40&md5=ba97b5882215d628ab461c44934f0b04","Review","Scopus","10.1016/j.biocon.2016.07.010",NA,22
"Ambarl2016489","ARTICLE","Ambarl, H.","Rural and Urban Students Perceptions of and Attitudes toward Brown Bears in Turkey","Anthrozoos","2016","29","3","489-502","cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983087564&doi=10.1080%2f08927936.2016.1181384&partnerID=40&md5=434a3689da40968c35c86910d5eaa343","Article","Scopus","10.1080/08927936.2016.1181384",NA,23
"Shamoun.Baranes2016","ARTICLE","Shamoun-Baranes, J. and Farnsworth, A. and Aelterman, B. and Alves, J.A. and Azijn, K. and Bernstein, G. and Branco, S. and Desmet, P. and Dokter, A.M. and Horton, K. and Kelling, S. and Kelly, J.F. and Leijnse, H. and Rong, J. and Sheldon, D. and Van Den Broeck, W. and Van Den Meersche, J.K. and Van Doren, B.M. and Van Gasteren, H.","Innovative visualizations shed light on avian nocturnal migration","PLoS ONE","2016","11","8",NA,"cited By 6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991108548&doi=10.1371%2fjournal.pone.0160106&partnerID=40&md5=77b0ecd77a48ba278307b46aa5c98c4e","Article","Scopus","10.1371/journal.pone.0160106","e0160106",24
"Koziarski201641","ARTICLE","Koziarski, A. and Kissui, B. and Kiffner, C.","Patterns and correlates of perceived conflict between humans and large carnivores in Northern Tanzania","Biological Conservation","2016","199",NA,"41-50","cited By 10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966304393&doi=10.1016%2fj.biocon.2016.04.029&partnerID=40&md5=4e5fa508169081974396fed53c1c5e34","Article","Scopus","10.1016/j.biocon.2016.04.029",NA,25
